index,game,prize,players,tournaments
1,Dota 2,"$37,308,751.07",783 Players,129 Tournaments
2,Counter-Strike: Global Offensive,"$17,269,672.20",4350 Players,854 Tournaments
3,League of Legends,"$10,419,768.80",1444 Players,150 Tournaments
4,Heroes of the Storm,"$4,635,149.10",390 Players,60 Tournaments
5,Call of Duty: Black Ops III,"$3,749,030.66",322 Players,47 Tournaments
6,Hearthstone: Heroes of WarCraft,"$3,435,219.86",542 Players,126 Tournaments
7,Halo 5: Guardians,"$3,259,240.03",175 Players,34 Tournaments
8,StarCraft II,"$3,178,315.04",404 Players,639 Tournaments
9,Overwatch,"$1,966,849.81",1152 Players,252 Tournaments
10,Smite,"$1,602,692.04",312 Players,20 Tournaments
11,Street Fighter V,"$736,734.05",107 Players,47 Tournaments
12,CrossFire,"$723,348.49",79 Players,7 Tournaments
13,Super Smash Bros. Melee,"$669,033.01",732 Players,726 Tournaments
14,Gears of War 4,"$501,285.00",67 Players,16 Tournaments
15,World of WarCraft,"$453,000.00",61 Players,4 Tournaments
16,Vainglory,"$424,628.65",165 Players,21 Tournaments
17,WarCraft III,"$416,082.66",65 Players,89 Tournaments
18,Super Smash Bros. for Wii U,"$398,670.19",528 Players,250 Tournaments
19,Rocket League,"$366,878.90",137 Players,45 Tournaments
20,Guild Wars 2,"$300,000.00",100 Players,4 Tournaments
21,World of Tanks,"$300,000.00",32 Players,1 Tournament
22,Mortal Kombat X,"$290,129.99",45 Players,21 Tournaments
23,H1Z1,"$267,244.00",18 Players,2 Tournaments
24,Heroes of Newerth,"$246,433.55",97 Players,24 Tournaments
25,KartRider,"$144,234.00",19 Players,3 Tournaments
26,Paladins,"$104,000.00",26 Players,2 Tournaments
27,Call of Duty: Infinite Warfare,"$103,771.31",48 Players,2 Tournaments
28,Madden NFL 2017,"$100,000.00",16 Players,1 Tournament
29,Mortal Kombat XL,"$99,871.39",23 Players,6 Tournaments
30,Rainbow Six Siege,"$98,644.97",22 Players,9 Tournaments
31,Clash Royale,"$98,109.29",24 Players,5 Tournaments
32,FIFA 16,"$93,305.25",46 Players,14 Tournaments
33,Brawlhalla,"$78,731.09",115 Players,67 Tournaments
34,Team Fortress 2,"$77,551.99",214 Players,19 Tournaments
35,StarCraft: Brood War,"$75,492.76",27 Players,10 Tournaments
36,Tekken 7,"$57,262.05",57 Players,13 Tournaments
37,Killer Instinct (2013),"$55,479.59",44 Players,12 Tournaments
38,Madden NFL 2016,"$50,000.00",8 Players,1 Tournament
39,Uncharted 4: A Thief's End,"$46,235.07",5 Players,1 Tournament
40,Point Blank,"$45,000.00",10 Players,1 Tournament
